968 0.9 7972.749749999999
0.9997 1 209 126437
1.5615 1 209 62644
1.435 1 209 80780
1.0209 1 209 49669
1.6919 1 209 116344
1.4982 1 209 80171
0.7499 1 209 89643
0.7131 1 209 62573
1.0497 1 209 95996
1.173 1 209 94730
0.8334 1 209 92259
1.565 1 209 72176
0.8612 1 209 102511
1.1018 1 209 117378
1.4394 1 209 112144
1.0715 1 209 125258
1.6173 1 209 80694
1.0878 1 209 83196
0.8814 1 209 63771
1.2644 1 209 109497
1.2193 1 209 55550
1471.3076 1 236 1
42.0738 1 236 1
62.0576 1 236 1
1816.1481 1 236 1
236.4026 6 237 1 238 1 239 1 240 1 241 1 242 1
1.6056 1 240 1
3.9548 1 242 1
1360.4685 1 242 1
33 1 242 1
6.6389 1 242 1
2.0273 0
0.1106 1 269 1
1.3432 1 243 110676
1.4845 1 243 60607
1.3578 1 243 69945
1.3357 1 243 132286
1.2435 1 243 80109
1.3649 1 243 116751
1.2934 1 243 69021
1.0971 1 243 120149
1.1222 1 243 137386
1.3255 1 243 110972
1.3494 1 243 91718
0.9138 1 243 106924
1.3901 1 243 111088
1.2522 1 243 69678
1.0892 1 243 59919
756.881 1 263 1
35.0885 1 263 1
38.9462 1 263 1
1890.1355 1 263 1
295.1303 6 264 1 265 1 266 1 267 1 268 1 269 1
1.5169 1 267 1
4.1847 1 269 1
1450.0921 1 269 1
33 1 269 1
5.5469 1 269 1
1.8694 0
0.1078 1 301 1
1.2461 1 270 126885
1.5646 1 270 72347
1.3924 1 270 81710
1.4836 1 270 102058
0.9477 1 270 108654
1.2574 1 270 56615
0.928 1 270 116595
1.2658 1 270 54038
1.0966 1 270 106406
0.986 1 270 131793
1.6645 1 270 58005
1.9048 1 270 122847
1.7101 1 270 60358
0.9715 1 270 109667
1.2698 1 270 56908
1.3396 1 270 125247
1.2096 1 270 134890
1.8399 1 270 64675
0.9154 1 270 135483
1.1874 1 270 70618
692.8407 1 295 1
35.3899 1 295 1
69.5995 1 295 1
2228.7351 1 295 1
218.5313 6 296 1 297 1 298 1 299 1 300 1 301 1
1.7868 1 299 1
4.6169 1 301 1
1510.9045 1 301 1
33 1 301 1
6.5744 1 301 1
1.5771 0
0.0829 1 330 1
1.613 1 302 132477
1.1603 1 302 115059
1.3999 1 302 52964
1.2145 1 302 136825
1.029 1 302 106014
0.9011 1 302 49136
1.5195 1 302 59042
0.6632 1 302 71927
1.184 1 302 86261
0.7272 1 302 84883
1.4015 1 302 136408
1.7366 1 302 116969
1.2728 1 302 121356
1.6982 1 302 87849
0.9259 1 302 77485
0.8138 1 302 129914
1.4027 1 302 51278
1115.7077 1 324 1
26.5728 1 324 1
38.3164 1 324 1
1765.2982 1 324 1
506.1743 6 325 1 326 1 327 1 328 1 329 1 330 1
1.5244 1 328 1
5.5414 1 330 1
1416.1341 1 330 1
33 1 330 1
5.9033 1 330 1
1.408 0
0.0495 1 361 1
1.4312 1 331 64478
1.6639 1 331 125948
1.2794 1 331 134921
1.6484 1 331 91408
1.0136 1 331 77901
1.2509 1 331 73376
1.7705 1 331 125730
0.8855 1 331 71805
0.7155 1 331 110379
1.441 1 331 85740
1.7708 1 331 48183
1.7177 1 331 93104
1.152 1 331 110799
1.2273 1 331 77185
0.8054 1 331 46850
1.3122 1 331 56418
0.9376 1 331 67130
1.5521 1 331 132264
1.3954 1 331 79465
1809.2065 1 355 1
44.1652 1 355 1
76.4951 1 355 1
1948.6834 1 355 1
242.4162 6 356 1 357 1 358 1 359 1 360 1 361 1
1.6711 1 359 1
4.2759 1 361 1
1370.6749 1 361 1
33 1 361 1
5.6397 1 361 1
2.0745 0
0.055 1 392 1
1.343 1 362 51402
0.9401 1 362 113356
0.8856 1 362 113729
0.8328 1 362 93467
0.9673 1 362 94386
1.3979 1 362 90705
1.0394 1 362 46364
1.0331 1 362 62717
0.9269 1 362 107792
0.9931 1 362 51391
1.3 1 362 99830
0.6455 1 362 109291
1.0575 1 362 129153
0.7319 1 362 86742
1.4205 1 362 111445
1.4063 1 362 89514
1.3524 1 362 103493
1.2818 1 362 97639
1.0009 1 362 97640
1012.077 1 386 1
49.1296 1 386 1
83.5619 1 386 1
1218.0988 1 386 1
424.7522 6 387 1 388 1 389 1 390 1 391 1 392 1
1.664 1 390 1
5.4884 1 392 1
1425.2665 1 392 1
33 1 392 1
4.828 1 392 1
1.1621 0
0.0708 1 422 1
1.2285 1 393 87134
1.5785 1 393 52305
1.8276 1 393 101753
1.2206 1 393 136943
1.2709 1 393 130338
1.7526 1 393 73103
1.1081 1 393 104849
0.643 1 393 101139
1.3791 1 393 129319
1.0121 1 393 59704
1.312 1 393 123373
1.4992 1 393 62812
1.7905 1 393 86235
0.6543 1 393 95600
1.2216 1 393 66054
1.414 1 393 97486
1.3418 1 393 110746
1.4183 1 393 104905
1456.6376 1 416 1
36.5645 1 416 1
52.6044 1 416 1
1634.4422 1 416 1
289.7106 6 417 1 418 1 419 1 420 1 421 1 422 1
1.653 1 420 1
6.877 1 422 1
1485.9262 1 422 1
33 1 422 1
5.2397 1 422 1
2.08 0
0.0718 1 453 1
1.3018 1 423 119433
1.2206 1 423 47361
1.2098 1 423 54360
1.2373 1 423 57998
1.2661 1 423 76733
0.7423 1 423 96835
1.2737 1 423 85816
1.3395 1 423 64952
0.8742 1 423 104828
1.3178 1 423 131796
1.1627 1 423 116553
1.6395 1 423 124698
0.9784 1 423 99878
1.3736 1 423 62395
1.7069 1 423 79926
1.6514 1 423 92075
1.2702 1 423 72211
0.7624 1 423 51513
0.9152 1 423 134145
1844.9199 1 447 1
39.8157 1 447 1
34.3774 1 447 1
3114.5519 1 447 1
314.1081 6 448 1 449 1 450 1 451 1 452 1 453 1
1.382 1 451 1
5.6127 1 453 1
1472.259 1 453 1
33 1 453 1
3.0153 1 453 1
2.1657 0
0.0485 1 482 1
1.0624 1 454 111242
0.8689 1 454 105419
1.7945 1 454 92167
1.1104 1 454 125962
1.538 1 454 132601
0.9193 1 454 117548
1.0116 1 454 128499
1.2869 1 454 67944
1.2932 1 454 74821
1.303 1 454 57870
1.7226 1 454 62241
1.2382 1 454 85700
1.0923 1 454 101324
1.4746 1 454 65737
1.0067 1 454 137650
0.8492 1 454 95115
1.5463 1 454 83989
1388.5998 1 476 1
34.2979 1 476 1
72.6263 1 476 1
3083.4111 1 476 1
344.0096 6 477 1 478 1 479 1 480 1 481 1 482 1
1.3352 1 480 1
4.2599 1 482 1
1387.9513 1 482 1
33 1 482 1
5.7134 1 482 1
1.4476 0
0.0432 1 514 1
1.5792 1 483 112747
1.4304 1 483 95891
1.7922 1 483 96072
0.9925 1 483 65408
1.1147 1 483 86083
0.9883 1 483 78364
1.0447 1 483 108291
0.8117 1 483 118816
1.6742 1 483 133733
1.8226 1 483 97567
1.0788 1 483 56773
1.9 1 483 78187
1.0918 1 483 53716
1.7978 1 483 82650
1.0036 1 483 67604
1.2897 1 483 94833
0.9299 1 483 105371
0.7546 1 483 120790
1.7416 1 483 84415
1.6338 1 483 71191
1685.8256 1 508 1
40.4282 1 508 1
83.241 1 508 1
3272.9544 1 508 1
312.1412 6 509 1 510 1 511 1 512 1 513 1 514 1
1.7026 1 512 1
5.2277 1 514 1
1491.0395 1 514 1
33 1 514 1
3.9858 1 514 1
1.1362 0
0.0816 1 543 1
1.2142 1 515 131202
0.728 1 515 58066
0.6617 1 515 77338
1.3444 1 515 75453
1.1786 1 515 79093
1.4513 1 515 97512
1.4334 1 515 60324
0.6485 1 515 119355
1.7447 1 515 115652
1.7026 1 515 122689
0.8103 1 515 74966
1.5941 1 515 95500
1.209 1 515 127794
0.6964 1 515 109555
1.095 1 515 130655
1.3452 1 515 81860
1.2372 1 515 133708
901.8097 1 537 1
37.883 1 537 1
73.0057 1 537 1
2121.9849 1 537 1
339.6766 6 538 1 539 1 540 1 541 1 542 1 543 1
1.3367 1 541 1
6.028 1 543 1
1285.7122 1 543 1
33 1 543 1
6.2451 1 543 1
1.6992 0
0.1119 1 571 1
1.4052 1 544 115997
1.3131 1 544 94593
1.2211 1 544 92184
1.3011 1 544 111286
0.8451 1 544 93053
1.5464 1 544 50883
1.4181 1 544 102228
1.1217 1 544 84635
1.466 1 544 98482
0.7845 1 544 88493
1.5514 1 544 108669
0.9822 1 544 128777
1.3673 1 544 99523
1.5426 1 544 89167
1.7758 1 544 123237
0.9842 1 544 91561
1037.1475 1 565 1
32.727 1 565 1
27.9336 1 565 1
1225.163 1 565 1
239.2951 6 566 1 567 1 568 1 569 1 570 1 571 1
1.4186 1 569 1
5.0104 1 571 1
1279.391 1 571 1
33 1 571 1
5.6921 1 571 1
1.9048 0
0.0726 1 603 1
1.8761 1 572 89251
1.4021 1 572 73517
1.0478 1 572 89796
1.2019 1 572 136476
1.3446 1 572 128751
1.4004 1 572 86150
0.8876 1 572 102193
1.8318 1 572 82208
1.1097 1 572 73666
1.3342 1 572 90910
1.4966 1 572 96807
0.7467 1 572 102345
1.178 1 572 67708
1.1703 1 572 47186
1.2371 1 572 96392
1.0114 1 572 105428
1.4648 1 572 105636
1.7232 1 572 55011
1.1385 1 572 126725
1.0679 1 572 62846
883.5153 1 597 1
25.1198 1 597 1
66.2155 1 597 1
2372.9565 1 597 1
300.3433 6 598 1 599 1 600 1 601 1 602 1 603 1
1.9703 1 601 1
5.3923 1 603 1
1572.4788 1 603 1
33 1 603 1
3.6456 1 603 1
1.5599 0
0.0472 1 635 1
1.2684 1 604 97979
1.4235 1 604 134372
1.3566 1 604 119108
1.4171 1 604 130818
0.9924 1 604 91718
1.1348 1 604 61554
1.2845 1 604 63809
1.281 1 604 95989
0.9832 1 604 102617
1.0715 1 604 77247
0.995 1 604 70303
1.1413 1 604 53772
1.5179 1 604 133878
1.3262 1 604 72799
1.8285 1 604 78951
1.4933 1 604 46857
0.9768 1 604 126328
1.264 1 604 136916
0.8604 1 604 87737
1.1631 1 604 116202
1610.3744 1 629 1
48.4488 1 629 1
38.2254 1 629 1
1781.9304 1 629 1
487.5391 6 630 1 631 1 632 1 633 1 634 1 635 1
1.5248 1 633 1
3.4909 1 635 1
1413.45 1 635 1
33 1 635 1
2.8868 1 635 1
1.5052 0
0.1166 1 662 1
1.0785 1 636 112036
1.4393 1 636 111016
1.4696 1 636 78850
1.2296 1 636 92485
0.8473 1 636 101898
1.2914 1 636 48681
1.0815 1 636 133896
1.0816 1 636 120328
0.7732 1 636 73353
1.1524 1 636 56972
1.6211 1 636 60289
1.176 1 636 87242
0.9578 1 636 49536
1.2278 1 636 106649
1.4684 1 636 110615
736.799 1 656 1
26.8487 1 656 1
41.7809 1 656 1
2321.3922 1 656 1
353.1651 6 657 1 658 1 659 1 660 1 661 1 662 1
1.1669 1 660 1
4.0553 1 662 1
1389.7012 1 662 1
33 1 662 1
5.0698 1 662 1
1.2951 0
0.1132 1 694 1
1.4241 1 663 51698
0.8312 1 663 48012
1.3566 1 663 87243
1.0394 1 663 80761
0.6939 1 663 130299
1.0883 1 663 119971
1.0652 1 663 90595
1.6138 1 663 81107
1.4209 1 663 137240
1.4591 1 663 100178
1.1695 1 663 102095
0.9228 1 663 99836
1.7572 1 663 123444
1.3073 1 663 103220
1.249 1 663 73943
1.6856 1 663 106311
1.8965 1 663 61568
1.4466 1 663 105119
1.1799 1 663 49019
1.2219 1 663 128855
1631.3605 1 688 1
35.854 1 688 1
62.8906 1 688 1
2374.2401 1 688 1
347.9664 6 689 1 690 1 691 1 692 1 693 1 694 1
1.3545 1 692 1
5.1697 1 694 1
1235.8768 1 694 1
33 1 694 1
4.6091 1 694 1
2.3084 0
0.0789 1 726 1
1.7824 1 695 117582
1.695 1 695 86800
1.5663 1 695 111406
1.5859 1 695 55822
0.8488 1 695 112124
1.3329 1 695 132573
1.0497 1 695 54028
1.2518 1 695 128832
1.3742 1 695 93310
1.7732 1 695 82326
0.8201 1 695 105072
1.7697 1 695 137384
1.1748 1 695 90702
1.6499 1 695 120468
1.0924 1 695 125412
0.946 1 695 102401
1.4406 1 695 119794
1.0908 1 695 76659
0.9997 1 695 125253
1.2083 1 695 128945
1529.4371 1 720 1
37.3722 1 720 1
66.9433 1 720 1
1824.2731 1 720 1
239.8284 6 721 1 722 1 723 1 724 1 725 1 726 1
1.4662 1 724 1
5.8851 1 726 1
1390.8884 1 726 1
33 1 726 1
4.6025 1 726 1
2.2102 0
0.0997 1 756 1
1.575 1 727 57699
1.4355 1 727 130529
1.2835 1 727 95295
1.6983 1 727 118529
1.5488 1 727 105113
0.8134 1 727 87994
1.3605 1 727 124445
1.497 1 727 121784
1.567 1 727 85407
1.237 1 727 81798
1.6077 1 727 71102
1.4958 1 727 95840
1.0153 1 727 92333
1.1367 1 727 58458
1.4159 1 727 105931
1.313 1 727 73927
1.6097 1 727 52994
1.1828 1 727 125386
1662.1934 1 750 1
36.0396 1 750 1
78.0196 1 750 1
2336.3964 1 750 1
408.54 6 751 1 752 1 753 1 754 1 755 1 756 1
1.8089 1 754 1
4.9345 1 756 1
1286.377 1 756 1
33 1 756 1
3.154 1 756 1
1.882 0
0.0636 1 786 1
1.1873 1 757 80231
1.0722 1 757 66397
1.1624 1 757 102304
1.0454 1 757 91151
0.778 1 757 135738
1.2687 1 757 68409
1.6455 1 757 66760
1.143 1 757 72384
1.2681 1 757 89076
1.5551 1 757 123399
1.3899 1 757 79522
1.0414 1 757 105407
1.2491 1 757 94964
0.9774 1 757 46297
1.2401 1 757 113025
1.3404 1 757 94509
1.6832 1 757 115825
1.8974 1 757 112606
2020.5386 1 780 1
47.8395 1 780 1
57.3609 1 780 1
2077.4773 1 780 1
277.532 6 781 1 782 1 783 1 784 1 785 1 786 1
1.3455 1 784 1
4.6188 1 786 1
1388.6304 1 786 1
33 1 786 1
6.6246 1 786 1
2.4581 0
0.0966 1 814 1
1.2726 1 787 132681
0.881 1 787 76030
0.6507 1 787 52034
1.7344 1 787 90260
1.1037 1 787 121893
1.684 1 787 82992
1.245 1 787 87395
1.1612 1 787 98456
1.3513 1 787 120646
1.0329 1 787 96179
1.5758 1 787 70672
1.0226 1 787 125280
1.5737 1 787 67322
0.8464 1 787 93731
1.078 1 787 76200
1.1912 1 787 90126
2022.7395 1 808 1
32.2172 1 808 1
37.3092 1 808 1
2555.2469 1 808 1
250.052 6 809 1 810 1 811 1 812 1 813 1 814 1
1.6602 1 812 1
3.3948 1 814 1
1356.1844 1 814 1
33 1 814 1
7.3973 1 814 1
1.7219 0
0.0907 1 846 1
1.192 1 815 66328
1.5491 1 815 125152
1.3445 1 815 101009
1.0678 1 815 114938
1.5309 1 815 67245
1.396 1 815 90382
1.4591 1 815 129499
1.3145 1 815 50838
1.0748 1 815 110991
1.3982 1 815 52502
1.1923 1 815 98400
0.6515 1 815 71258
1.2024 1 815 96961
1.2848 1 815 117017
0.8514 1 815 116870
1.0694 1 815 102487
1.7231 1 815 130316
1.3869 1 815 135114
1.4334 1 815 119924
1.2668 1 815 128028
1304.9514 1 840 1
31.3552 1 840 1
77.1367 1 840 1
2830.2701 1 840 1
267.1355 6 841 1 842 1 843 1 844 1 845 1 846 1
1.4423 1 844 1
6.5285 1 846 1
1541.8652 1 846 1
33 1 846 1
7.3644 1 846 1
2.2481 0
0.0407 1 874 1
1.7133 1 847 114987
1.0102 1 847 78236
1.3885 1 847 51010
1.6163 1 847 137000
0.9894 1 847 94032
1.6879 1 847 126789
1.5517 1 847 97499
1.5278 1 847 48671
0.9662 1 847 95113
1.47 1 847 95124
1.1866 1 847 101553
0.9606 1 847 77196
1.5246 1 847 78885
1.1963 1 847 128681
1.5659 1 847 94360
1.5061 1 847 67410
1397.323 1 868 1
38.1258 1 868 1
35.6447 1 868 1
3014.8916 1 868 1
520.3271 6 869 1 870 1 871 1 872 1 873 1 874 1
1.6631 1 872 1
6.2147 1 874 1
1423.334 1 874 1
33 1 874 1
5.6394 1 874 1
1.8679 0
0.0542 1 906 1
1.0435 1 875 84294
1.5875 1 875 117504
1.0132 1 875 128870
1.7083 1 875 123398
1.1676 1 875 109864
0.7737 1 875 126294
0.9725 1 875 75498
1.8295 1 875 132540
1.4435 1 875 112703
1.1656 1 875 86509
1.5111 1 875 67803
0.8546 1 875 96632
0.7808 1 875 84874
1.6829 1 875 134313
1.5487 1 875 66139
0.8713 1 875 52650
1.3639 1 875 73484
1.4684 1 875 60344
1.0532 1 875 55105
1.2096 1 875 51756
873.5347 1 900 1
34.1931 1 900 1
47.4409 1 900 1
1855.6169 1 900 1
450.0157 6 901 1 902 1 903 1 904 1 905 1 906 1
1.9643 1 904 1
5.331 1 906 1
1479.3891 1 906 1
33 1 906 1
5.7298 1 906 1
1.2941 0
0.1036 1 936 1
0.8545 1 907 76039
1.1493 1 907 132976
1.4401 1 907 127250
1.2646 1 907 58118
1.4691 1 907 84777
1.1275 1 907 103959
0.8997 1 907 103598
1.8098 1 907 118138
1.2936 1 907 107672
1.6293 1 907 60733
1.2088 1 907 77583
1.105 1 907 91920
1.0421 1 907 63698
1.0785 1 907 61361
1.5842 1 907 57467
0.7392 1 907 119285
1.0024 1 907 70802
1.7623 1 907 76052
1483.2502 1 930 1
43.0457 1 930 1
28.8867 1 930 1
1892.0213 1 930 1
431.0714 6 931 1 932 1 933 1 934 1 935 1 936 1
1.6368 1 934 1
6.052 1 936 1
1588.4843 1 936 1
33 1 936 1
4.7344 1 936 1
2.2406 0
0.0729 32 28 1521088 57 1403379 89 1782333 120 1682479 151 2007678 180 1581776 208 1452806 242 1927986 269 1447229 301 1895799 330 1615847 361 1673084 392 1750056 422 1723798 453 1673506 482 1645829 514 1808502 543 1690722 571 1572768 603 1819002 635 1898954 662 1343846 694 1880514 726 2106893 756 1684564 786 1658004 814 1481897 846 2025259 874 1486546 906 1840574 936 1591428 967 1588065
1.2833 1 937 67774
1.2425 1 937 55099
1.1826 1 937 71701
1.4467 1 937 95801
1.0231 1 937 97653
1.2103 1 937 79674
1.1956 1 937 70419
1.8237 1 937 52972
1.5147 1 937 50285
1.3277 1 937 95132
1.4203 1 937 109626
1.3193 1 937 56482
1.1317 1 937 79201
1.4783 1 937 110115
0.6641 1 937 131095
1.3978 1 937 94599
0.7715 1 937 92448
1.1207 1 937 56278
0.8275 1 937 121711
764.4953 32 22 4647571 51 5104049 83 6404717 114 6146983 145 7261877 174 8126736 202 4446411 236 6508043 263 6532722 295 4561207 324 6743553 355 5010151 386 5639207 416 6365059 447 5543743 476 7351583 508 6781578 537 6150429 565 7533328 597 8516003 629 5783853 656 4974926 688 6718604 720 4065305 750 6116763 780 6601155 808 5636637 840 6805301 868 4160151 900 6045270 930 7318840 961 5736933
33.8563 32 22 310 51 310 83 310 114 310 145 310 174 310 202 310 236 310 263 310 295 310 324 310 355 310 386 310 416 310 447 310 476 310 508 310 537 310 565 310 597 310 629 310 656 310 688 310 720 310 750 310 780 310 808 310 840 310 868 310 900 310 930 310 961 310
62.3041 32 22 96 51 96 83 95 114 96 145 95 174 95 202 96 236 96 263 96 295 96 324 96 355 96 386 96 416 95 447 96 476 96 508 96 537 95 565 96 597 96 629 96 656 96 688 96 720 96 750 96 780 96 808 95 840 95 868 95 900 96 930 96 961 96
1478.6774 32 22 6984059 51 6402516 83 6993360 114 7871915 145 6588547 174 2960693 202 3477129 236 4986649 263 4822553 295 3039442 324 4141137 355 2765748 386 3292423 416 5585848 447 3141934 476 5854850 508 5773691 537 5058058 565 4011037 597 3158920 629 5935250 656 5628289 688 4803546 720 4668291 750 5884388 780 6800085 808 4934855 840 4082785 868 6148298 900 5379430 930 7192827 961 6063505
447.0128 192 23 79857 24 87984 25 89032 26 83311 27 80231 28 313238 52 80846 53 83175 54 86537 55 82867 56 84217 57 332208 84 82441 85 79716 86 87708 87 79088 88 85726 89 364444 115 82385 116 86576 117 82217 118 88583 119 90195 120 349251 146 86756 147 86933 148 80982 149 92626 150 84145 151 320619 175 87299 176 83119 177 82653 178 83578 179 82977 180 326356 203 80864 204 84559 205 87155 206 79479 207 88779 208 342028 237 82284 238 77897 239 79912 240 88573 241 77777 242 346722 264 82817 265 78591 266 86475 267 80583 268 82529 269 345700 296 80234 297 83390 298 89528 299 81841 300 90146 301 335410 325 83435 326 84118 327 85649 328 85781 329 83408 330 298806 356 77839 357 84786 358 75960 359 83766 360 82117 361 338038 387 80406 388 87708 389 80764 390 79461 391 83179 392 379959 417 88141 418 83285 419 84717 420 76635 421 83471 422 332070 448 78388 449 79763 450 76402 451 83166 452 81642 453 284621 477 87709 478 84651 479 84990 480 86191 481 80285 482 320300 509 82283 510 89877 511 84768 512 85192 513 89221 514 307382 538 81698 539 84996 540 84315 541 86713 542 88970 543 339022 566 84225 567 84168 568 85993 569 85286 570 82907 571 334029 598 88505 599 91335 600 81401 601 86541 602 90204 603 323938 630 83386 631 84104 632 76697 633 83601 634 81992 635 324910 657 84453 658 78318 659 86939 660 81157 661 80440 662 313156 689 82143 690 85032 691 88515 692 80784 693 84444 694 337397 721 79241 722 83557 723 86411 724 89643 725 84312 726 316882 751 83567 752 81061 753 87009 754 88610 755 87362 756 331022 781 82287 782 86776 783 82799 784 83969 785 80987 786 312389 809 85432 810 81744 811 83580 812 83796 813 78640 814 372243 841 87199 842 87183 843 85334 844 83670 845 88736 846 388836 869 79876 870 83491 871 83586 872 81913 873 82091 874 311685 901 76283 902 81072 903 79784 904 82839 905 85160 906 319810 931 89197 932 87774 933 84258 934 83656 935 83586 936 349263 962 87967 963 81281 964 85719 965 84374 966 82332 967 308884
1.7052 32 26 710266 55 1018537 87 838269 118 1086392 149 669073 178 720525 206 856330 240 552210 267 1108432 299 730253 328 649479 359 810819 390 949065 420 1028994 451 601506 480 599599 512 992571 541 761645 569 993664 601 682940 633 718098 660 517978 692 928997 724 910341 754 799101 784 887291 812 972043 844 692323 872 724846 904 974827 934 789255 965 877660
6.37 32 28 545 57 544 89 544 120 545 151 543 180 544 208 544 242 545 269 544 301 544 330 544 361 545 392 545 422 545 453 545 482 544 514 544 543 545 571 544 603 544 635 544 662 544 694 544 726 545 756 545 786 545 814 544 846 544 874 545 906 544 936 544 967 544
1427.1583 32 28 178228 57 185806 89 181326 120 184461 151 163284 180 160171 208 176891 242 181558 269 175593 301 168699 330 176065 361 173990 392 174481 422 168790 453 170815 482 172259 514 156211 543 183619 571 186305 603 174042 635 183091 662 173103 694 164309 726 163758 756 190845 786 173446 814 175357 846 199173 874 200866 906 198964 936 169361 967 185737
